location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
33,0,0.2,4.99983906419813,2026-05-09,2026-05-09,quantile,wk inc covid hosp
34,0,0.2,51.71092532432898,2026-05-09,2026-05-09,quantile,wk inc covid hosp
35,0,0.2,0.7336997728367426,2026-05-09,2026-05-09,quantile,wk inc covid hosp
36,0,0.2,120.65732884414801,2026-05-09,2026-05-09,quantile,wk inc covid hosp
37,0,0.2,61.700279071483294,2026-05-09,2026-05-09,quantile,wk inc covid hosp
38,0,0.2,2.3386793136552337,2026-05-09,2026-05-09,quantile,wk inc covid hosp
39,0,0.2,35.269898814330254,2026-05-09,2026-05-09,quantile,wk inc covid hosp
40,0,0.2,2.879134573268751,2026-05-09,2026-05-09,quantile,wk inc covid hosp
41,0,0.2,3.886214739527194,2026-05-09,2026-05-09,quantile,wk inc covid hosp
42,0,0.2,85.36717187476278,2026-05-09,2026-05-09,quantile,wk inc covid hosp
44,0,0.2,2.262029410368262,2026-05-09,2026-05-09,quantile,wk inc covid hosp
45,0,0.2,22.7622169251556,2026-05-09,2026-05-09,quantile,wk inc covid hosp
46,0,0.2,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
47,0,0.2,31.47567196403162,2026-05-09,2026-05-09,quantile,wk inc covid hosp
48,0,0.2,56.5613529556393,2026-05-09,2026-05-09,quantile,wk inc covid hosp
49,0,0.2,1.0661465544219737,2026-05-09,2026-05-09,quantile,wk inc covid hosp
50,0,0.2,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
51,0,0.2,35.76764942977978,2026-05-09,2026-05-09,quantile,wk inc covid hosp
53,0,0.2,18.906313845146958,2026-05-09,2026-05-09,quantile,wk inc covid hosp
54,0,0.2,7.331942998957853,2026-05-09,2026-05-09,quantile,wk inc covid hosp
55,0,0.2,16.80164286323667,2026-05-09,2026-05-09,quantile,wk inc covid hosp
56,0,0.2,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
